a	b
cut	cắt, chặt; sự cắt
cycle	chukỳ,chutrình,vòng;quayvòngtheo chukỳ,đixeđạp
cycling	sự đi xe đạp
dad	bố, cha
daily	hàng ngày
damage	mốihạn,điều hại, sựthiệthại;làmhưhại,làmhỏng,gâythiệthại
damp	ẩm, ẩm ướt, ẩm thấp
dance	sự nhảy múa, sự khiêu vũ; nhảy múa, khiêu vũ
dancer	diễn viên múa, người nhảy múa
dancing	sự nhảy múa, sự khiêu vũ
danger	sự nguy hiểm, mối hiểm nghèo; nguy cơ, mối đe dọa
dangerous	nguy hiểm
dare	dám, dám đương đầu với; thách
dark	tối, tối tăm; bóng tối, ám muội
data	số liệu, dữ liệu
date	ngày, kỳ, kỳ hạn, thời kỳ, thời đại; đề ngày tháng, ghi niên hiệu
daughter	con gái
day	ngày, ban ngày
dead	chết, tắt
deaf	điếc, làm thinh, làm ngơ
deal	phân phát, phân phối; sự giao dịch, thỏa thuận mua bán. deal with giải quyết
dear	thân, thân yêu, thân mến; kính thưa, thưa
death	sự chết, cái chết
debate	cuộc tranh luận, cuộc tranh cãi; tranh luận, bàn cãi
debt	nợ
decade	thập kỷ, bộ mười, nhóm mười
decay	tình trạng suy tàn, suy sụp, tình trạng đổ nát
december (abbr dec)	tháng mười hai, tháng chạp
decide	quyết định, giải quyết, phân xử
decision	sự quyết định, sự giải quyết, sự phân xử
declare	tuyên bố, công bố
decline	sự suy tàn, sự suy sụp; suy sụp, suy tàn
decorate	trang hoàng, trang trí
decoration	sự trang hoàng, đồ trang hoàng, trang trí
decorative	để trang hoàng, để trang trí, để làm cảnh
decrease	giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút
deep	sâu, khó lường, bí ẩn
deeply	sâu, sâu xa, sâu sắc
defeat	đánh thắng, đánh bại; sự thất bại (1 kế hoạch), sự tiêu tan (hyvọng..)
defence	cái để bảo vệ, vật để chống đỡ, sự che chở
defend	che chở, bảo vệ, bào chữa
define	định nghĩa
definite	xác định, định rõ, rõ ràng
definitely	rạch ròi, dứt khoát
definition	sự định nghĩa, lời định nghĩa
degree	mức độ, trình độ; bằng cấp; độ
delay	sự chậm trễ, sự trì hoãn, sự cản trở; làm chậm trễ
deliberate	thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc
deliberately	thận trọng, có suy nghĩ cân nhắc
delicate	thanh nhã, thanh tú,tếnhị,khóxử
delight	sự vui thích, sự vui sướng, điều thích thú; làm vui thích, làm say mê
delighted	vui mừng, hài lòng
deliver	cứu khỏi, thoát khỏi, bày tỏ, giãi bày
delivery	sự phân phát, sự phân phối, sự giao hàng; sự bày tỏ, phát biếu
demand	sự đòi hỏi, sự yêu cầu; đòi hỏi, yêu cầu
demonstrate	chứng minh, giải thích; bày tỏ, biểu lộ
dentist	nha sĩ
deny	từ chối, phản đối, phủ nhận
department	cục, sở, ty, ban, khoa; gian hàng, khu bày hàng
departure	sự rời khỏi, sự đi, sự khởi hành
depend	phụ thuộc, tùy thuộc; dựa vào, ỷ vào, trông mong vào
deposit	vật gửi, tiền gửi, tiền đặt cọc; gửi, đặt cọc
depress	làm chán nản, làm phiền muộn; làm suy giảm
depressed	chán nản, thất vọng, phiền muộn; suy yếu, đình trệ
depressing	làm chán nản làm thát vọng, làm trì trệ
depth	chiều sâu, độ dày
derive	nhậnđượctừ,lấyđượctừ;xuất pháttừ, bắtnguồn,chuyểnhóatừ (from)
describe	diễn tả, miêu tả, mô tả
description	sự mô tả, sự tả, sự miêu tả
desert	sa mạc; công lao, giá trị; rời bỏ, b trốn
deserted	hoang vắng, không người ở
deserve	đáng, xứng đáng
design	sự thiết kế, kế hoạch, đề cương. phác thảo; phác họa, thiết kế
desire	ước muốn; thèm muốn, ao ước
desk	bàn (học sinh, viết, làm việc)
desperate	liều mạng, liều lĩnh; tuyệt vọng
desperately	liều lĩnh, liều mạng
despite	dù, mặc dù, bất chấp
destroy	phá, phá hoại, phá huỷ, tiêu diệt, triệt phá
destruction	sự phá hoại, sự phá hủy, sự tiêu diệt
detail	 chi tiết. in detail: tường tận, tỉ mỉ
detailed	cặn kẽ, tỉ mỉ, nhiều chi tiết
determination	sự xác định, sự định rõ; sự quyết định
determine	xác định, định rõ; quyết định
determined	đã được xác định, đã được xác định rõ
develop	pháttriển,mởrộng;trìnhbày,bàytỏ
development	sựpháttriển,sựtrìnhbày,sự bàytỏ
device	kế sách; thiết bị, dụng cụ, máy móc
devote	hiếndâng, dànhhếtcho
devoted	hiếncho,dângcho,dànhcho; hếtlòng, nhiệttình
diagram	biểu đồ
diamond	kim cương
diary	sổ nhật ký; lịch ghi nhớ
dictionary	từ điển
die	chết, tư trần, hy sinh
diet	chế độ ăn uống, chế độ ăn kiêng
difference	sự khác nhau
different	khác, khác biệt, khác nhau
differently	khác, khác biệt, khác nhau
difficult	khó, khó khăn, gấy go
difficulty	sự khó khăn, nỗi khó khăn, điều cản trở
dig	đào bới, xới
dinner	bữa trưa, chiều
direct	trực tiếp, thẳng, thẳng thắn; gửi, viết cho ai, điều khiển
direction	sự điều khiển, sự chỉ huy
directly	trực tiếp, thẳng
director	giám đốc, người điều khiển, chỉ huy
dirt	đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi
dirty	bẩn thỉu, dơ bẩn
disabled	bất lực, không có khả năng
disadvantage	sự bất lợi, sự thiệt hại
disagree	bất đồng, không đồng ý, khác, không giống; không hợp
disagreement	sự bấtđồng,sựkhôngđồngý,sựkhácnhau
disappear	biến mất, biến đi
disappoint	không làm thỏa ước nguyện, ý mong đợi; thất ước, làm thất bại
disappointed	thất vọng
disappointing	làm chán ngán, làm thất vọng
disappointment	sự chán ngán, sự thất vọng
disapproval	sự phản đổi, sự không tán thành
disapprove	không tán thành, phản đối, chê
disapproving	phản đối
disaster	tai họa, thảm họa
disc, disk	đĩa
discipline	kỷ luật
discount	sựbớtgiá, sự chiếtkhấu,tiềnbớtchiếtkhấu
discover	khám phá, phát hiện ra, nhận ra
discovery	sự khám phá, sự tìm ra, sự phát hiện ra
discuss	thảo luận, tranh luận
discussion	sự thảo luận, sự tranh luận
disease	căn bệnh, bệnh tật
disgust	làm ghê tởm, làm kinh tởm, làm phẫn nộ
disgusted	chán ghét,phẫnnộ
disgusting	làm ghê tởm, kinh tởm
dish	đĩa (đựng thức ăn)
dishonest	bất lương, không thành thật
dishonestly	bất lương, không lương thiện
disk	đĩa,đĩahát
dislike	sựkhôngưa,khôngthích,sựghé
dismiss	giải tán (quân đội, đám đông); sa thải (người làm)
display	bày tỏ, phô trương, trưng bày; sự bày ra, phô bày, trưng bày
dissolve	tan rã, phân hủy, giải tán
distance	khoảng cách, tầm xa
distinguish	phân biệt, nhận ra, nghe ra
distribute	phân bổ, phân phối, sắp xếp, phâ loại
distribution	sự phân bổ, sự phân phối, phân phát, sự sắp xếp
district	huyện, quận
disturb	làm mất yên tĩnh, làm náo động, quấy rầy
disturbing	xáo trộn
divide	chia, chia ra, phân ra
division	sự chia, sự phân chia, sự phân loại
divorce	sự ly dị
divorced	đã ly dị
do	làm
doctor (abbr dr)	bác sĩ y khoa, tiến sĩ
document	văn kiện, tài liệu, tư liệu
dog	chó
dollar	đô la mỹ
domestic	vậtnuôitrongnhà,(thuộc)nộitrợ,quốcnội
dominate	chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế
door	cửa, cửa ra vào
dot	chấm nhỏ, điểm; của hồi môn
double	đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi
doubt	sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực
down	xuống
downstairs	ở dưới nhà, ở tầng dưới; xống gác; tầng dưới
downward	xuống, đi xuống
downwards	xuống, đi xuống
dozen	tá (12)
draft	bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế
drag	lôi kéo, kéo lê
drama	kịch, tuồng
dramatic	như kịch, như đóng kịch, thích hợp với sân khấu
dramatically	đột ngột
draw	vẽ, kéo
drawer	người vẽ, người kéo
drawing	bản vẽ, bức vẽ, sự kéo
dream	giấc mơ, mơ
dress	quần áo, mặc (quần áo), ăn mặc
dressed	cách ăn mặc
drink	đồ uống; uống
drive	lái , đua xe; cuộc đua xe (điều khiển)
driver	người lái xe
driving	sự lái xe, cuộc đua xe
drop	chảy nhỏ giọt, rơi, rớt; giọt (nước, máu...)
drug	thuốc, dược phẩm; ma túy
drugstore	hiệu thuốc, cửa hàng dược phẩm
drum	cái trống, tiếng trống
drunk	say rượu
dry	khô, cạn;làmkhô,sấykhô
due	đến kỳ hạn (trả nợ); xứng đáng, thích đáng. due to vì, do, tại, nhờ có
dull	chậmhiểu, nguđần
dump	đổ rác; đống rác, nơi đổ rác
during	trong lúc, trong thời gian
dust	bụi, rác; rắc (bụi, phấn), quét bụi, phủi bụi
duty	sự tôn kính, kính trọng; bồn phận, trách nhiệm
dvd	đĩa dvd
dying	sự chết
e.g.	viếttắtcủa cụmtưlatinh exemplgratia(forexample)
each	mỗi
each other	nhau, lẫn nhau
ear	tai
early	sớm
earn	kiếm (tiền), giành (phần thưởng)
earth	đất, trái đất
ease	sự thanh thản, sự thoải mái; làm thanh thản, làm yên tâm, làm dễ chịu
easily	dễ dàng
east	hướngđông,phíađông,(thuộc)đông,ởphíađông
eastern	đông
easy	dễ dàng, dễ tính, ung dung
eat	ăn
economic	(thuộc) kinh tế
economy	sự tiết kiệm, sự quản lý kinh tế
edge	lưỡi, cạnh sắc
edition	nhà xuất bản, sự xuất bản
editor	người thu thập và xuất bản, chủ bút
educate	giáo dục, cho ăn học; rèn luyện
educated	được giáo dục, được đào tạo
education	sự giáo dục, sự rèn luyện (kỹ năng)
effect	hiệu ứng, hiệu quả, kết quả
effective	có kết quả, có hiệu lực
effectively	có kết quả, có hiệu lực
efficient	có hiệu lực, có hiệu quả
efficiently	có hiệu quả, hiệu nghiệm
effort	sự cố gắng, sự nỗ lực
egg	trứng
either	mỗi, một; cũng phải thế
elbow	khuỷu tay
elderly	có tuổi, cao tuổi
elect	bầu, quyết định
election	sự bầu cử,cuộctuyểncử
electric	(thuộc) điện, có điện, phát điện
electrical	(thuộc) điện
electricity	điện, điện lực; điện lực học
electronic	 (thuộc) điện tử
elegant	thanh lịch, tao nhã
element	yếu tố, nguyên tố
elevator	máy nâng, thang máy
else	khác, nữa; nếu không
elsewhere	ở một nơi nào khác
email, e	mail
embarrass	lúng túng, làm ngượng nghịu; làm rắc rối, gây khó khăn
embarrassed	lúng túng, bối rối, ngượng; mang nợ
embarrassing	làm lúng túng, ngăn trở
embarrassment	sự lúng túng, sự bối rối
emerge	nổi lên, hiện ra; nổi bật lên
emergency	tình trạng khẩn cấp
emotion	xự xúc động, sự cảm động, mối xác cảm
emotional	cảm động, xúc động, xúc cảm; dễ cảm động, dễ xúc cảm
emotionally	xúc động
emphasis	sự nhấn mạnh, tầm quan trọng
emphasize	nhấn mạnh, làm nổi bật
empire	đế chế, đế quốc
employ	dùng, thuê ai làm gì
employee	người lao động, người làm công
employer	chủ, người sử dụng lao động
employment	sự thuê mướn
empty	trống, rỗng; đổ, dốc; uống, làm cạn
enable	làm cho có thể, có khả năng; cho phép ai làm gì
encounter	chạm chán, bắt gặp; sự chạm trán, sự bắt gặp
encourage	động viên, ủng hộ, giúp đỡ, làm cấn đảm, mạnh dạn
encouragement	niềm cổ vũ, động viên, khuyến khích
end	giới hạn, sự kết thúc; kết thúc, chấm dứt. in the end cuối cùng, v sau
ending	sự kết thúc, sự chấm dứt; phần cuối, kết cục
enemy	kẻ thù, quân địch
energy	năng lượng, nghị lực, sinh lực
engage	hứa hẹn, cam kết, đính ước
engaged	đã đính ước, đã hứa hôn; đã có người
engine	máy, động cơ
engineer	kỹ sư
engineering	nghề kỹ sư, công việc của kỹ sư
enjoy	thưởng thức, thích thú cái gì, được hưởng, có được
enjoyable	thú vị, thích thú
enjoyment	sự thích thú, sự có được, được hưởng
enormous	to lớn, khổng lồ
enough	đủ
enquiry	sự điều tra, sự thẩm vấn
ensure	bảo đảm, chắc chắn
enter	đi vào, gia nhập
entertain	giải trí, tiếp đón, chiêu đãi
entertainer	người quản trò, người tiếp đãi, chiêu đãi
entertaining	giải trí
entertainment	sự giải trí, sự tiếp đãi, chiêu đãi
enthusiasm	sự hăng hái, sự nhiệt tình
enthusiastic	hăng hái, say mê, nhiệt tình
entire	toàn thể, toàn bộ
entirely	toàn vẹn, trọn vẹn, toàn bộ
entitle	cho tiêu đề, cho tên (sách); cho quyền làm gì
entrance	sự đi vào, sự nhậm chức
entry	sự ghi vào sổ sách, sự đi vào, sự tiếp nhận (pháp lý)
envelope	phong bì
environment	môi trường, hoàn cảnh xung quanh
environmental	thuộc về môi trường
equal	ngang, bằng; người ngang hàng, ngang tài, sức; bằng, ngang
equally	bằng nhau, ngang bằng
equipment	trang, thiết bị
equivalent	tương đương; tư, vật tương đương
error	lỗi, sự sai sót, sai lầm
escape	trốn thoát, thoát khỏi; sự trốn thoát, lỗi thoát
especially	đặc biệt là, nhất là
essay	bài tiểu luận
essential	bản chất, thực chất, cốt yếu; yếu tố cần thiết
essentially	vềbảnchất,vềcơbản
establish	lập, thành lập
estate	tài sản, di sản, bất động sản
estimate	sự ước lượng, đánh giá; ước lượng, đánh giá
etc., et cetera	vân vân
euro	đơn vị tiền tệ của liên minh châu âu
even	ngay cả, ngay, lại còn; bằng phẳng, điềm đạm, ngang bằng
evening	buổi chiều, tối
event	sự việc, sự kiện
eventually	cuối cùng
ever	từng, từ trước tới giờ
every	mỗi, mọi
everyone, everybody	mọi người
everything	mọi vật, mọi thứ
everywhere	mọi nơi
evidence	điều hiển nhiên, điều rõ ràng
evil	xấu,ác; điềuxấu,điều ác, điều taihại
ex	null
exact	chính xác, đúng
exactly	chính xác, đúng đắn
exaggerate	cường điệu, phóng đại
exaggerated	cường điệu, phòng đại
exam	viết tắt của examination (xem nghĩa phía dưới)
examination	sự thi cử, kỳ thi
examine	thẩm tra, khám xét, hỏi han (thí sinh)
example	thí dụ, ví dụ
explode	đập tan (hy vọng...), làm nổ, nổ
explore	thăm dò, thám hiểm
explosion	sự nổ, sự phát triển ồ ạt
export	xuất khẩu; hàng xuất khẩu, sự xuất khẩu
expose	trưng bày, phơi bày
express	diễn tả, biểu lộ, bày tỏ; nhanh, tốc hành
expression	sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt
extend	giơ, duỗi ra (tay, châ(n).); kéo dài (thời gia(n).), dành cho, gửi lời
extension	sự giơ, duỗi; sự kéo dài, sự dành cho, gửi lời
extensive	rộng rãi, bao quát
extent	quy mô, phạm vi
extra	thêm, phụ, ngoại; thứ thêm, phụ
extraordinary	đặc biệt, lạ thường, khác thường
extreme	vô cùng, khắc nghiệt, quá khích, cực đoan; sự quá khích
extremely	vô cùng, cực độ
eye	mắt
face	mặt,thểdiện; đươngđầu,đốiphóđốimặt
facility	điều kiện dễ dàng, sự dễ dàng, thuận lợi
fact	việc, sự việc, sự kiện
factor	nhân tố
factory	nhà máy, xí nghiệp, xưởng
fail	sai, thất bại
failure	sự thất bại, người thất bại
faint	nhút nhát, yếu ớt
faintly	nhút nhát, yếu ớt
fair	hợp lý, công bằng; thuận lợi
fairly	hợp lý, công bằng
faith	sự tin tưởng, tin cậy; niềm tin, vật đảm bảo
faithful	trung thành, chung thủy, trung thực
faithfully	trung thành, chung thủy, trung thực. yours faithfully bạn chân thành
fall	rơi, ngã, sự rơi, ngã. fall over ngã lộn nhào, bị đổ
fame	tên tuổi, danh tiếng
familiar	thân thiết, quen thộc
family	gia đình, thuộc gia đình
famous	nổi tiếng
fan	người hâm mộ
fancy	tưởng tượng, cho, nghĩ rằng; tưởng tượng
far	xa
farm	trang trại
farmer	nông dân, người chủ trại
farming	công việc trồng trọt, đồng áng
fashion	mốt, thời trang
fashionable	đúng mốt, hợp thời trang
fast	nhanh
fasten	buộc, trói
fat	béo, béo bở; mỡ, chất béo
father	cha (bố)
faucet	vòi(ởthùngrượu)
fault	sự thiết sót, sai sót
favour	thiệný,sựquý mến;sựđồngý;sự chiếu cố.infavour/favor(of):ủnghộ cái gì(tobeinfavourofsomething )
favourite	được ưa thích; người (vật) được ưa thích
fear	sự sợ hãi, e sợ; sợ, lo ngại
feather	lông chim
feature	nétđặt biệt, điểm đặctrưng;môtảnétđặc biệt, đặctrưngcủa…
february (abbr feb)	tháng 2
federal	liên bang
fee	tiền thù lao, học phí
feed	cho ăn, nuôi
feel	cảm thấy
feel sick	buồn nôn
feeling	sự cảm thấy, cảm giác
fellow	anh chàng (đáng yêu), đồng chí
female	thuộc giống cái; giống cái
fence	hàng rào
festival	lễ hội, đại hội liên hoan
fetch	tìmvề,đemvề;làmbựcmình;làmsay mê,quyếnrũ
fever	cơn sốt, bệnh sốt
few	ít,vài; một ít, một vài. a few một ít, một vài
field	cánh đồng, bãi chiến trường
fight	đấu tranh, chiến đấu; sự đấu tranh, cuộc chiến đấu
fighting	sự chiến đấu, sự đấu tranh
figure	hình dáng, nhân vật; hình dung, miêu tả
file	hồ sơ, tài liệu
fill	làm đấy, lấp kín
film	phim,đượcdựngthànhphim
final	cuối cùng, cuộc đấu chung kết
finally	cuối cùng, sau cùng
finance	tài chính; tài trợ, cấp vốn
financial	thuộc (tài chính)
find	tìm, tìm thấy. find out sth: khám phá, tìm ra
fine	tốt, giỏi
finely	đẹp đẽ, tế nhị, cao thượng
finger	ngón tay
finish	kết thúc, hoàn thành; sự kết thúc, phần cuối
finished	hoàntất,hoànthành
fire	lửa; đốt cháy. set fire to: đốt cháy cái gì
firm	hãng, công ty; chắc, kiên quyết, vũng vàng, mạnh mẽ
firmly	vững chắc, kiên quyết
first	thứ nhất, đầu tiên, trước hết; người, vật đầu tiên, thứ nhất. at first trực tiếp
fish	cá, món cá; câu cá, bắt cá
fishing	sự câu cá, sự đánh cá
fit	hợp, vưa; thích hợp, xứng đáng
fix	đóng, gắn, lắp; sửa chữa, sửa sang
fixed	đứng yên, bất động
flag	quốc kỳ
flame	ngọn lửa
flash	loé sáng, vụt sáng; ánh sáng lóe lên, đèn nháy
flat	bằngphẳng,bẹt,nhẵn;dãyphòng,cănphòng,mặtphẳng
flavour	vị, mùi; cho gia vị, làm tăng thêm mùi vị
flesh	thịt
flight	sự bỏ chạy, rút chạy; sự bay, chuyến bay
float	nổi, trôi, lơ lửng
flood	lụt, lũ lụtl; tràn đầy, tràn ngập
floor	sàn, tầng (nhà)
flour	bột, bột mỳ
flow	sự chảy; chảy
flower	hoa, bông, đóa, cây hoa
flu	bệnh cúm
fly	bay; sự bay, quãng đường bay
flying	biết bay; sự bay, chuyến bay
focus	tập trung; trung tâm, trọng tâm ((n)bóng)
fold	gấp, vén, xắn; nếp gấp
folding	gấp lại được
follow	đi theo sau, theo, tiếp theo
following	tiếp theo, theo sau, sau đây; sau, tiếp theo
food	đồ ăn, thức, món ăn
foot	chân, bàn chân
football	bóng đá
for	cho, dành cho...
force	sức mạnh; ép buộc, cưỡng ép
forecast	sự dự đoán, dự báo; dự đoán, dự báo
foreign	(thuộc) nước ngoài, tư nước ngoài, ở nước ngoài
forest	rừng
forever	mãi mãi
forget	quên
forgive	tha,thathứ
fork	cái nĩa
form	hình thể, hình dạng, hình thức; làm thành, được tạo thành
formal	hình thức
formally	chính thức
former	trước, cũ, xưa, nguyên
formerly	trướcđây,thuởxưa
formula	công thức, thể thức, cách thức
fortune	sự giàu có, sự thịnh vượng
forward	ở phía trước, tiến về phía trước
forward, forwards	về tương lai, sau này ở phía trước, tiến về phía trước
found	tìm, tìm thấy
foundation	sựthànhlập, sựsánglập;tổchức
frame	cấu trúc, hệ thống; dàn xếp, bố trí
free	miễn phí, tự do, giải phóng, trả tự do
freedom	sự tự do; nền tự do
freely	tự do, thoải mái
freeze	đóng băng, đông lạnh
frequent	thường xuyên
frequently	thường xuyên
fresh	tươi, tươi tắn
freshly	tươi mát, khỏe khoắn
friday (abbr fri)	thứ sáu
fridge	tủ lạnh
friend	người bạn
friendly	thân thiện, thân mật
friendship	tình bạn, tình hữu nghị
frighten	làm sợ, làm hoảng sợ
frightened	hoảng sợ, khiếp sợ
frightening	kinh khủng, khủng khiếp
from	frəm/ tư
front	mặt; đằngtrước,vềphíatrước.infront(of):ởphíatrước
frozen	lạnh giá
fruit	quả, trái cây
fry	rán,chiên; thịtrán
fuel	chất đốt, nhiên liệu
full	đầy, đầy đủ
fully	đầy đủ, hoàn toàn
fun	sự vui đùa, sự vui thích; hài hước make fun of: đùa cợt, chế giễu, chế nhạo
function	chứcnăng;họat động,chạy(máy)
fund	kho, quỹ; tài trợ, tiền bạc, để tiền vào công quỹ
fundamental	cơ bản, cơ sở, chủ yếu
funeral	lễ tang, đám tang
funny	buồn cười, khôi hài
fur	bộ da lông thú
furniture	đồ đạc (trong nhà)
further	xa hơn nữa; thêm nữa
further, furthest	cấp so sánh của far
future	tương lai
gain	lợi, lợi ích; giành được, kiếm được, đạt tới
gallon	galông1gl = 4, 54lítởanh,3, 78lítởmỹ
gamble	đánh bạc; cuộc đánh bạc
gambling	trò cờ bạc
game	trò chơi
gap	đèo, lỗ hổng, kẽ hở; chỗ trống
garage	nhà để ô tô
garbage	lòng, ruột (thú)
garden	vườn
gas	khí, hơi đốt
gasoline	dầu lửa, dầu hỏa, xăng
gate	cổng
gather	tập hợp; hái, lượm, thu thập
gear	cơcấu,thiếtbị,dụngcụ
general	chung, chung chung; tổng
generally	nói chung, đại thể. in general: nói chung, đại khái
generate	sinh, đẻ ra
generation	sự sinh ra, sự phát sinh ra; thế hệ đời
generous	rộng lượng, khoan hồng, hào phóng
generously	rộng lượng, hào phóng
gentle	hiền lành, dịu dàng, nhẹ nhàng
gentleman	ngườiquýphái, ngườithượnglưu
gently	nhẹ nhàng, êm ái, dịu dàng
genuine	thành thật, chân thật; xác thực
genuinely	thành thật, chân thật
geography	địa lý, khoa địa lý
get	được, có được. get on leo, trèo lên. get off: ra khỏi, thoát khỏi
giant	ngườikhổnglồ,ngườiphithườngkhổnglồ,phithường
gift	quà tặng
girl	con gái
girlfriend	bạn gái, người yêu
give	cho,biếu,tặng.give sthawaychophát.give sthout:chia,phân phối give(sth)upbỏ,tưbỏ
give birth	sinh ra
glad	vui lòng, sung sướng
glass	kính, thủy tinh, cái cốc, ly
glasses	kính đeo mắt
global	toàn cầu, toàn thể, toàn bộ
glove	bao tay, găng tay
glue	keo,hồ;gắn lại, dánbằngkeo,hồ
go	đi. go down: đi xuống. go up: đi lên. be going to sắp sửa, có ý định
goal	mục đích,bànthắng,khungthành
god	thần, chúa
gold	vàng; bằng vàng
good	tốt, hay, tuyệt; điều tốt, điều thiện. good at: tiến bộ ở. good for: có lợi cho
good, well	tốt, khỏe
goodbye	tạm biệt; lời chào tạm biệt
goods	của cải, tài sản, hàng hóa
govern	cai trị, thống trị, cầm quyền
government	 chính phủ, nội các; sự cai trị
governor	thủ lĩnh, chủ; kẻ thống trị
grab	túm lấy, vồ, chộp lấy
grade	điểm, điểm số; phân loại, xếp loại
gradual	dần dần, tưng bước một
gradually	dần dần, tư tư
grain	thóc lúa, hạt, hột; tính chất, bản chất
gram	đậu xanh
gram, gramme (abbr g, gm)	ngữ pháp
grammar	văn phạm
grand	rộnglớn,vĩđại
grandchild	cháu (của ông bà)
granddaughter	cháu gái
grandfather	ông
grandmother	bà
grandparent	ông bà
grandson	cháu trai
grant	cho,bán,cấp; sựcho,sựbán,sự cấp
grass	cỏ; bãi cỏ, đồng cỏ
grateful	biết ơn, dễ chịu, khoan khoái
grave	mộ, dấu huyền; trang nghiêm, nghiêm trọng
gray	xám, hoa râm (tóc)
great	to, lớn, vĩ đại
greatly	rất, lắm; cao thượng, cao cả
green	xanh lá cây
grey	xám, hoa râm (tóc)
grey, usually gray	màu xám
groceries	hàng tạp hóa
grocery	cửa hàng tạp phẩm
ground	mặt đất, đất, bãi đất
group	nhóm
grow	mọc, mọc lên. grow up lớn lên, trưởng thành
growth	sự lớn lên, sự phát triển
guarantee	sự bảohành,bảolãnh,người bảolãnh;camđoan,bảođảm
guard	cái chắn, người bảo vệ; bảo vệ, gác, canh giữ
guess	đoán, phỏng đoán; sự đoán, sự ước chưng
guest	khách, khách mời
guide	điều chỉ dẫn, người hướng dẫn; dẫn đường, chỉ đường
guilty	có tội, phạm tội, tội lỗi
gun	súng
guy	bù nhìn, anh chàng, gã
habit	thói quen, tập quán
hair	tóc
hairdresser	thợ làm tóc
half	một nửa, phần chia đôi, nửa giờ; nửa
hall	đại sảnh, tòa (thị chính), hội trường
hammer	búa
hand	tay, bàn tay; trao tay, truyền cho
handle	cầm, sờ mó; tay cầm, móc quai
hang	treo, mắc
happen	xảy ra, xảy đến
happily	sung sướng, hạnh phúc
happiness	sự sung sướng, hạnh phúc
happy	vui sướng, hạnh phúc
hard	cứng,rắn,hàkhắc;hếtsức cốgắng,tíchcực
hardly	khắc nghiệt, nghiêm khắc, tàn tệ, khó khăn
harm	thiệt hại, tổn hao; làm hại, gây thiệt hại
harmful	gây tai hại, có hại
harmless	không có hại
hat	cái mũ
hate	ghét; lòng căm ghét, thù hận
hatred	lòng căm thì, sự căm ghét
have	có
have to	phải (bắt buộc, có bổn phận phải)
he	nó, anh ấy, ông ấy
head	cái đầu (người, thú); chỉ huy, lãnh đại, dẫn đầu
headache	chứng nhức đầu
heal	chữa khỏi, làm lành
health	sức khỏe, thể chất, sự lành mạnh
healthy	khỏe mạnh, lành mạnh
hear	nghe
hearing	sự nghe, thính giác
heart	tim, trái tim
heat	hơi nóng, sức nóng
heating	sự đốt nóng, sự làm nóng
heaven	thiên đường
heavily	nặng, nặng nề
heavy	nặng, nặng nề
heel	gót chân
height	chiều cao, độ cao; đỉnh, điểm cao
hell	địa ngục
hello	lời chào, chào, xin chào
help	giúp đỡ; sự giúp đỡ
helpful	có ích; giúp đỡ
hence	sauđây,kểtừ đây;do đó,vìthế
her	nó, chị ấy, cô ấy, bà ấy
here	đây, ở đây
hero	người anh hùng
hers	cái của nó, cái của cô ấy, cái của chị ấy, cái của bà ấy
herself	chính nó, chính cô ta, chính chị ta chính bà ta
hesitate	ngập ngưng, do dự
hi	xin chào
hide	trốn, ẩn nấp; che giấu
high	cao, ở mức độ cao
highlight	làm nổi bật, nêu bật; chỗ nổi bật nhất, đẹp, sáng nhất
highly	tốt, cao; hết sức, ở mức độ cao
highway	đường quốc lộ
hill	đồi
him	nó, hắn, ông ấy, anh ấy
himself	chínhnó,chínhhắn,chínhôngta,chínhanhta
hip	hông
hire	thuê, cho thuê (nhà...); sự thuê, sự cho thuê
his	của nó, của hắn, của ông ấy, của anh ấy; cái của nó, cái của hắn, cái của ông ấy, cái của anh ấy
historical	lịch sử, thuộc lịch sử
history	lịch sử, sử học
hit	đánh, đấm, ném trúng; đòn, cú đấm
hobby	sở thích riêng
hold	cầm, nắm, giữ; sự cầm, sự nắm giữ
hole	lỗ,lỗ trống;hang
holiday	ngày lễ, ngày nghỉ
hollow	rỗng, trống rỗng
holy	linh thiêng; sùng đạo
home	nhà; ở tại nhà, nước mình
homework	bài tập về nhà (học sinh), công việc làm ở nhà
honest	lương thiện, trung thực, chân thật
honestly	lương thiện, trung thực, chân thật
honour	danhdự,thanhdanh, lòngkínhtrọng.inhonour/honorof: đểtỏlòngtôn kính, trân trọng đối với
hook	cái móc; bản lề; lưỡi câu
hope	hy vọng; nguồn hy vọng
horizontal	(thuộc) chân trời, ở chân trời; ngang, nằm ngang (trục hoành)
horn	sừng (trâu, bò...)
horror	điều kinh khủng, sự ghê rợn
horse	ngựa
hospital	bệnh viện, nhà thương
host	chủnhà,chủtiệc; dẫn(c.trình),đăngcaitổchức(hộinghị)
hot	nóng, nóng bức
hotel	khách sạn
hour	giờ
house	nhà, căn nhà, toàn nhà
